# t  x  y  vx  vy  r  v  Ekin  Epot  Etot (energiad per 1 kg)
# vfactor =   1.00 ; V1 (m/s) =   7.2086E+03
   1.000000E+00   6.251796E+06   7.208638E+03  -8.311923E+00   7.208635E+03   6.251800E+06   7.208640E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   2.000000E+00   6.251784E+06   1.441727E+04  -1.662383E+01   7.208620E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   3.000000E+00   6.251762E+06   2.162588E+04  -2.493572E+01   7.208596E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   4.000000E+00   6.251734E+06   2.883446E+04  -3.324758E+01   7.208562E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   5.000000E+00   6.251696E+06   3.604300E+04  -4.155939E+01   7.208519E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   6.000000E+00   6.251650E+06   4.325149E+04  -4.987115E+01   7.208466E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   7.000000E+00   6.251596E+06   5.045993E+04  -5.818284E+01   7.208404E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   8.000000E+00   6.251534E+06   5.766829E+04  -6.649445E+01   7.208332E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   9.000000E+00   6.251464E+06   6.487659E+04  -7.480598E+01   7.208250E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   1.000000E+01   6.251384E+06   7.208479E+04  -8.311740E+01   7.208160E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   1.100000E+01   6.251297E+06   7.929290E+04  -9.142872E+01   7.208059E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   1.200000E+01   6.251202E+06   8.650091E+04  -9.973991E+01   7.207949E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   1.300000E+01   6.251098E+06   9.370880E+04  -1.080510E+02   7.207829E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   1.400000E+01   6.250986E+06   1.009166E+05  -1.163619E+02   7.207700E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   1.500000E+01   6.250865E+06   1.081242E+05  -1.246727E+02   7.207561E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   1.600000E+01   6.250736E+06   1.153317E+05  -1.329832E+02   7.207412E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   1.700000E+01   6.250599E+06   1.225390E+05  -1.412937E+02   7.207254E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598225E+07
   1.800000E+01   6.250454E+06   1.297462E+05  -1.496039E+02   7.207086E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   1.900000E+01   6.250300E+06   1.369532E+05  -1.579139E+02   7.206909E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.000000E+01   6.250138E+06   1.441600E+05  -1.662238E+02   7.206722E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   2.100000E+01   6.249967E+06   1.513666E+05  -1.745334E+02   7.206526E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.200000E+01   6.249788E+06   1.585730E+05  -1.828427E+02   7.206320E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.300000E+01   6.249602E+06   1.657793E+05  -1.911519E+02   7.206104E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.400000E+01   6.249406E+06   1.729852E+05  -1.994607E+02   7.205879E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.500000E+01   6.249202E+06   1.801910E+05  -2.077693E+02   7.205644E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.600000E+01   6.248990E+06   1.873965E+05  -2.160777E+02   7.205400E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196449E+07  -2.598225E+07
   2.700000E+01   6.248770E+06   1.946018E+05  -2.243857E+02   7.205146E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   2.800000E+01   6.248542E+06   2.018068E+05  -2.326935E+02   7.204882E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
   2.900000E+01   6.248305E+06   2.090116E+05  -2.410009E+02   7.204609E+03   6.251800E+06   7.208639E+03   2.598224E+07  -5.196448E+07  -2.598224E+07
